CD_MUN,NM_MUN,SIGLA,AREA_KM2,time,t2m,t2m_min,t2m_max
3304557,Rio de Janeiro,RJ,1200.329,11/12/00,25.26116,21.7127,29.49233
3304557,Rio de Janeiro,RJ,1200.329,11/13/00,26.67556,23.74877,31.4225
3304557,Rio de Janeiro,RJ,1200.329,11/14/00,24.00222,21.73556,25.8125
3304557,Rio de Janeiro,RJ,1200.329,11/15/00,22.09826,20.7416,23.7175
3304557,Rio de Janeiro,RJ,1200.329,11/16/00,22.91918,20.53704,25.2698
3304557,Rio de Janeiro,RJ,1200.329,11/17/00,23.34307,20.39865,25.80648
3304557,Rio de Janeiro,RJ,1200.329,11/18/00,22.66485,21.64892,23.62722
3304557,Rio de Janeiro,RJ,1200.329,11/19/00,23.11477,21.57913,25.06762
3304557,Rio de Janeiro,RJ,1200.329,11/20/00,24.8957,22.26144,28.656
3304557,Rio de Janeiro,RJ,1200.329,11/21/00,24.6232,22.65853,26.97613
3304557,Rio de Janeiro,RJ,1200.329,11/22/00,23.97875,22.13146,25.71023
3304557,Rio de Janeiro,RJ,1200.329,11/23/00,24.26794,22.12063,27.11572
3304557,Rio de Janeiro,RJ,1200.329,11/24/00,26.26324,23.26022,30.14333
3304557,Rio de Janeiro,RJ,1200.329,11/25/00,26.55392,23.1134,31.5308
3304557,Rio de Janeiro,RJ,1200.329,11/26/00,23.63244,22.85467,24.49365
3304557,Rio de Janeiro,RJ,1200.329,11/27/00,24.05493,22.4227,27.01824
3304557,Rio de Janeiro,RJ,1200.329,11/28/00,25.8559,22.71148,30.02664
3304557,Rio de Janeiro,RJ,1200.329,11/29/00,27.19128,24.5165,30.8425
3304557,Rio de Janeiro,RJ,1200.329,11/30/00,25.42697,23.58633,27.11694
3304557,Rio de Janeiro,RJ,1200.329,12/1/00,23.31365,22.18682,24.20724
3304557,Rio de Janeiro,RJ,1200.329,12/2/00,23.1164,21.08816,25.32153
3304557,Rio de Janeiro,RJ,1200.329,12/3/00,24.96783,21.27108,29.31783
3304557,Rio de Janeiro,RJ,1200.329,12/4/00,26.42315,23.62002,29.42254
3304557,Rio de Janeiro,RJ,1200.329,12/5/00,25.51956,23.03036,27.91717
3304557,Rio de Janeiro,RJ,1200.329,12/6/00,23.44937,21.9293,25.10735
3304557,Rio de Janeiro,RJ,1200.329,12/7/00,23.6549,21.33486,25.94967
3304557,Rio de Janeiro,RJ,1200.329,12/8/00,24.4798,21.1315,28.366
3304557,Rio de Janeiro,RJ,1200.329,12/9/00,25.33926,20.87637,30.62588
3304557,Rio de Janeiro,RJ,1200.329,12/10/00,25.4959,23.1134,27.55737
3304557,Rio de Janeiro,RJ,1200.329,12/11/00,25.0393,22.85708,28.12414
3304557,Rio de Janeiro,RJ,1200.329,12/12/00,26.1386,21.97744,30.2324
3304557,Rio de Janeiro,RJ,1200.329,12/13/00,26.59472,23.05203,30.04827
3304557,Rio de Janeiro,RJ,1200.329,12/14/00,26.47805,23.52374,29.6969
3304557,Rio de Janeiro,RJ,1200.329,12/15/00,27.1655,23.26983,31.14935
3304557,Rio de Janeiro,RJ,1200.329,12/16/00,27.66345,24.194,31.03262
3304557,Rio de Janeiro,RJ,1200.329,12/17/00,23.44778,21.5009,27.42498
3304557,Rio de Janeiro,RJ,1200.329,12/18/00,21.57528,20.95822,22.23016
3304557,Rio de Janeiro,RJ,1200.329,12/19/00,22.32784,21.25906,24.1218
3304557,Rio de Janeiro,RJ,1200.329,12/20/00,23.5158,21.47686,25.68374
3304557,Rio de Janeiro,RJ,1200.329,12/21/00,24.4591,21.69586,28.4021
3304557,Rio de Janeiro,RJ,1200.329,12/22/00,25.9912,21.76446,31.4165
3304557,Rio de Janeiro,RJ,1200.329,12/23/00,27.18426,24.5237,30.67523
3304557,Rio de Janeiro,RJ,1200.329,12/24/00,27.14776,24.02432,30.75463
3304557,Rio de Janeiro,RJ,1200.329,12/25/00,27.48596,24.14587,31.76425
3304557,Rio de Janeiro,RJ,1200.329,12/26/00,27.18008,24.89556,30.28655
3304557,Rio de Janeiro,RJ,1200.329,12/27/00,28.11288,25.49844,31.5645
3304557,Rio de Janeiro,RJ,1200.329,12/28/00,27.87435,25.50326,31.76183
3304557,Rio de Janeiro,RJ,1200.329,12/29/00,27.20086,25.07726,30.05428
3304557,Rio de Janeiro,RJ,1200.329,12/30/00,27.89367,25.2301,31.57293
3304557,Rio de Janeiro,RJ,1200.329,12/31/00,26.32113,24.4467,28.34677
1200.329,3304557,RJ,1/1/01,Rio de Janeiro,24.18176,23.09628,24.8469
1200.329,3304557,RJ,1/2/01,Rio de Janeiro,24.23962,22.20605,26.14483
1200.329,3304557,RJ,1/3/01,Rio de Janeiro,23.93163,22.88058,25.91668
1200.329,3304557,RJ,1/4/01,Rio de Janeiro,25.4638,22.9043,28.95275
1200.329,3304557,RJ,1/5/01,Rio de Janeiro,26.3614,23.08755,30.49386
1200.329,3304557,RJ,1/6/01,Rio de Janeiro,27.657,24.1162,32.55615
1200.329,3304557,RJ,1/7/01,Rio de Janeiro,28.263,25.13864,32.2494
1200.329,3304557,RJ,1/8/01,Rio de Janeiro,28.31518,24.48654,32.50753
1200.329,3304557,RJ,1/9/01,Rio de Janeiro,27.54577,25.04138,31.19708
1200.329,3304557,RJ,1/10/01,Rio de Janeiro,27.76492,24.30575,32.4963
1200.329,3304557,RJ,1/11/01,Rio de Janeiro,28.31826,24.60497,32.3766
1200.329,3304557,RJ,1/12/01,Rio de Janeiro,27.1557,25.04138,29.84426
1200.329,3304557,RJ,1/13/01,Rio de Janeiro,26.59402,23.312,30.23202
1200.329,3304557,RJ,1/14/01,Rio de Janeiro,26.41558,23.40176,29.97766
1200.329,3304557,RJ,1/15/01,Rio de Janeiro,26.25756,23.3544,29.36794
1200.329,3304557,RJ,1/16/01,Rio de Janeiro,26.9303,23.4055,30.8966
1200.329,3304557,RJ,1/17/01,Rio de Janeiro,26.8787,23.21475,30.69836
1200.329,3304557,RJ,1/18/01,Rio de Janeiro,27.636,24.06136,31.6734
1200.329,3304557,RJ,1/19/01,Rio de Janeiro,28.2022,24.40548,32.2407
1200.329,3304557,RJ,1/20/01,Rio de Janeiro,26.7288,24.74963,28.75576
1200.329,3304557,RJ,1/21/01,Rio de Janeiro,25.84948,23.48782,28.60363
1200.329,3304557,RJ,1/22/01,Rio de Janeiro,25.67492,23.49404,28.72332
1200.329,3304557,RJ,1/23/01,Rio de Janeiro,25.99728,23.61498,29.4353
1200.329,3304557,RJ,1/24/01,Rio de Janeiro,26.4312,23.88055,29.52133
1200.329,3304557,RJ,1/25/01,Rio de Janeiro,27.21288,24.51272,30.99883
1200.329,3304557,RJ,1/26/01,Rio de Janeiro,28.14196,25.02642,32.17712
1200.329,3304557,RJ,1/27/01,Rio de Janeiro,27.4106,25.12866,30.5774
1200.329,3304557,RJ,1/28/01,Rio de Janeiro,27.93405,25.20345,32.42898
1200.329,3304557,RJ,1/29/01,Rio de Janeiro,28.35763,25.06756,32.89904
1200.329,3304557,RJ,1/30/01,Rio de Janeiro,26.92047,25.0476,29.98266
1200.329,3304557,RJ,1/31/01,Rio de Janeiro,26.9315,24.65237,30.58737
1200.329,3304557,RJ,2/1/01,Rio de Janeiro,26.93606,24.42794,31.02377
1200.329,3304557,RJ,2/2/01,Rio de Janeiro,27.9865,25.1137,31.8155
1200.329,3304557,RJ,2/3/01,Rio de Janeiro,28.541,25.98776,31.53747
1200.329,3304557,RJ,2/4/01,Rio de Janeiro,28.20748,26.48275,30.5213
1200.329,3304557,RJ,2/5/01,Rio de Janeiro,27.2933,25.22964,30.41906
1200.329,3304557,RJ,2/6/01,Rio de Janeiro,27.77416,25.17977,31.4402
1200.329,3304557,RJ,2/7/01,Rio de Janeiro,26.7008,25.05758,29.80184
1200.329,3304557,RJ,2/8/01,Rio de Janeiro,26.776,24.90548,29.5288
1200.329,3304557,RJ,2/9/01,Rio de Janeiro,27.08282,24.85684,30.02877
1200.329,3304557,RJ,2/10/01,Rio de Janeiro,27.85958,25.2471,31.97137
1200.329,3304557,RJ,2/11/01,Rio de Janeiro,28.39102,25.44286,32.6559
1200.329,3304557,RJ,2/12/01,Rio de Janeiro,28.84417,26.7371,31.8704
1200.329,3304557,RJ,2/13/01,Rio de Janeiro,27.81582,25.50646,30.4415
1200.329,3304557,RJ,2/14/01,Rio de Janeiro,27.63372,24.49026,31.97762
1200.329,3304557,RJ,2/15/01,Rio de Janeiro,28.9309,25.782,33.62472
1200.329,3304557,RJ,2/16/01,Rio de Janeiro,28.5592,25.91915,31.9689
1200.329,3304557,RJ,2/17/01,Rio de Janeiro,27.2097,24.8631,30.14974
1200.329,3304557,RJ,2/18/01,Rio de Janeiro,27.95718,24.88427,32.2382
1200.329,3304557,RJ,2/19/01,Rio de Janeiro,28.0779,24.84936,31.61355
1200.329,3304557,RJ,2/20/01,Rio de Janeiro,27.67446,24.2808,31.25445
1200.329,3304557,RJ,2/21/01,Rio de Janeiro,27.30587,23.88806,30.62103
1200.329,3304557,RJ,2/22/01,Rio de Janeiro,27.29022,24.0626,30.15347
1200.329,3304557,RJ,2/23/01,Rio de Janeiro,27.87145,23.9242,31.83672
1200.329,3304557,RJ,2/24/01,Rio de Janeiro,27.89587,24.48403,31.2183
1200.329,3304557,RJ,2/25/01,Rio de Janeiro,27.97677,23.89678,31.2669
1200.329,3304557,RJ,2/26/01,Rio de Janeiro,27.34124,23.30825,30.58862
1200.329,3304557,RJ,2/27/01,Rio de Janeiro,27.05544,23.88055,29.93902
1200.329,3304557,RJ,2/28/01,Rio de Janeiro,25.74087,24.0863,27.8605
1200.329,3304557,RJ,3/1/01,Rio de Janeiro,25.85635,22.49905,29.20962
1200.329,3304557,RJ,3/2/01,Rio de Janeiro,26.12997,21.82824,29.39413
1200.329,3304557,RJ,3/3/01,Rio de Janeiro,26.3748,22.10378,30.48638
1200.329,3304557,RJ,3/4/01,Rio de Janeiro,26.50176,22.07137,30.68212
1200.329,3304557,RJ,3/5/01,Rio de Janeiro,27.1541,22.85192,31.1335
1200.329,3304557,RJ,3/6/01,Rio de Janeiro,27.37267,23.9803,32.14346
1200.329,3304557,RJ,3/7/01,Rio de Janeiro,28.3311,24.5551,32.7457
1200.329,3304557,RJ,3/8/01,Rio de Janeiro,26.88546,24.53018,29.5587
1200.329,3304557,RJ,3/9/01,Rio de Janeiro,26.39547,24.63116,29.34426
1200.329,3304557,RJ,3/10/01,Rio de Janeiro,25.93774,23.28207,30.90283
1200.329,3304557,RJ,3/11/01,Rio de Janeiro,25.09545,23.4853,27.3094
1200.329,3304557,RJ,3/12/01,Rio de Janeiro,25.33566,23.2272,28.27322
1200.329,3304557,RJ,3/13/01,Rio de Janeiro,26.636,22.80578,30.98388
1200.329,3304557,RJ,3/14/01,Rio de Janeiro,27.0629,23.15365,30.4315
1200.329,3304557,RJ,3/15/01,Rio de Janeiro,27.18694,22.96038,30.93774
1200.329,3304557,RJ,3/16/01,Rio de Janeiro,27.23968,23.19604,30.94772
1200.329,3304557,RJ,3/17/01,Rio de Janeiro,26.8288,23.44042,30.28066
1200.329,3304557,RJ,3/18/01,Rio de Janeiro,26.55496,24.1187,30.10485
1200.329,3304557,RJ,3/19/01,Rio de Janeiro,27.76437,24.38055,31.59857
1200.329,3304557,RJ,3/20/01,Rio de Janeiro,27.09896,24.50897,29.0438
1200.329,3304557,RJ,3/21/01,Rio de Janeiro,26.64803,23.99902,29.96145
1200.329,3304557,RJ,3/22/01,Rio de Janeiro,27.86633,23.96536,31.6659
1200.329,3304557,RJ,3/23/01,Rio de Janeiro,28.28613,24.49777,32.8841
1200.329,3304557,RJ,3/24/01,Rio de Janeiro,28.42108,24.61123,33.09106
1200.329,3304557,RJ,3/25/01,Rio de Janeiro,27.04876,24.11495,30.3829
1200.329,3304557,RJ,3/26/01,Rio de Janeiro,27.75573,23.65737,32.10604
1200.329,3304557,RJ,3/27/01,Rio de Janeiro,27.3261,24.69726,31.0936
1200.329,3304557,RJ,3/28/01,Rio de Janeiro,26.0535,23.68856,29.48516
1200.329,3304557,RJ,3/29/01,Rio de Janeiro,25.6565,23.84442,28.92034
1200.329,3304557,RJ,3/30/01,Rio de Janeiro,24.35296,23.6711,25.4042
1200.329,3304557,RJ,3/31/01,Rio de Janeiro,24.91015,23.0427,26.97152
1200.329,3304557,RJ,4/1/01,Rio de Janeiro,26.17996,22.93917,30.12356
1200.329,3304557,RJ,4/2/01,Rio de Janeiro,26.4653,23.3332,30.47515
1200.329,3304557,RJ,4/3/01,Rio de Janeiro,25.5849,23.4479,27.28073
1200.329,3304557,RJ,4/4/01,Rio de Janeiro,25.0993,22.24343,27.61736
1200.329,3304557,RJ,4/5/01,Rio de Janeiro,25.4382,22.16488,28.84927
1200.329,3304557,RJ,4/6/01,Rio de Janeiro,27.0465,23.2509,31.7669
1200.329,3304557,RJ,4/7/01,Rio de Janeiro,26.6242,23.84564,28.43655
1200.329,3304557,RJ,4/8/01,Rio de Janeiro,25.08148,23.44915,27.2396
1200.329,3304557,RJ,4/9/01,Rio de Janeiro,25.0684,22.28832,28.09866
1200.329,3304557,RJ,4/10/01,Rio de Janeiro,26.37805,22.6811,30.77813
1200.329,3304557,RJ,4/11/01,Rio de Janeiro,26.57247,24.5077,28.37545
1200.329,3304557,RJ,4/12/01,Rio de Janeiro,24.89013,23.4342,26.36303
1200.329,3304557,RJ,4/13/01,Rio de Janeiro,23.82812,21.50656,25.92913
1200.329,3304557,RJ,4/14/01,Rio de Janeiro,23.64492,19.73354,26.60244
1200.329,3304557,RJ,4/15/01,Rio de Janeiro,23.74478,20.8669,26.42663
1200.329,3304557,RJ,4/16/01,Rio de Janeiro,24.00448,21.44296,26.378
1200.329,3304557,RJ,4/17/01,Rio de Janeiro,24.3577,21.06268,26.64608
1200.329,3304557,RJ,4/18/01,Rio de Janeiro,23.89126,20.81704,25.81942
1200.329,3304557,RJ,4/19/01,Rio de Janeiro,24.5697,21.06017,28.64977
1200.329,3304557,RJ,4/20/01,Rio de Janeiro,25.7367,21.51904,31.03124
1200.329,3304557,RJ,4/21/01,Rio de Janeiro,26.60873,22.1736,31.72823
1200.329,3304557,RJ,4/22/01,Rio de Janeiro,26.70257,22.6387,31.1759
1200.329,3304557,RJ,4/23/01,Rio de Janeiro,27.3747,23.46038,31.439
1200.329,3304557,RJ,4/24/01,Rio de Janeiro,27.27493,23.16363,31.9377
1200.329,3304557,RJ,4/25/01,Rio de Janeiro,26.89724,23.09506,29.80184
1200.329,3304557,RJ,4/26/01,Rio de Janeiro,25.66912,22.07137,29.71707
1200.329,3304557,RJ,4/27/01,Rio de Janeiro,25.83746,21.85067,30.67465
1200.329,3304557,RJ,4/28/01,Rio de Janeiro,26.37182,21.78585,30.99633
1200.329,3304557,RJ,4/29/01,Rio de Janeiro,26.59582,22.36938,30.51382
1200.329,3304557,RJ,4/30/01,Rio de Janeiro,25.66296,22.59133,28.4428
1200.329,3304557,RJ,5/1/01,Rio de Janeiro,25.66992,21.68734,29.25448
1200.329,3304557,RJ,5/2/01,Rio de Janeiro,26.6211,22.52026,31.31054
1200.329,3304557,RJ,5/3/01,Rio de Janeiro,26.6681,22.61627,30.69836
1200.329,3304557,RJ,5/4/01,Rio de Janeiro,25.77535,21.8619,29.8081
1200.329,3304557,RJ,5/5/01,Rio de Janeiro,22.2143,19.8657,25.186
1200.329,3304557,RJ,5/6/01,Rio de Janeiro,21.6377,18.93057,24.5526
1200.329,3304557,RJ,5/7/01,Rio de Janeiro,21.93505,19.81707,23.94415
1200.329,3304557,RJ,5/8/01,Rio de Janeiro,21.98947,19.7011,24.52395
1200.329,3304557,RJ,5/9/01,Rio de Janeiro,21.6305,18.21862,25.1137
1200.329,3304557,RJ,5/10/01,Rio de Janeiro,23.643,18.953,28.4989
1200.329,3304557,RJ,5/11/01,Rio de Janeiro,23.8658,20.84323,27.62362
1200.329,3304557,RJ,5/12/01,Rio de Janeiro,22.84057,22.09506,23.81072
1200.329,3304557,RJ,5/13/01,Rio de Janeiro,21.7464,20.62377,22.88308
1200.329,3304557,RJ,5/14/01,Rio de Janeiro,20.6185,19.79464,21.41677
1200.329,3304557,RJ,5/15/01,Rio de Janeiro,20.37023,19.06646,21.72476
1200.329,3304557,RJ,5/16/01,Rio de Janeiro,20.55282,19.91683,21.41305
1200.329,3304557,RJ,5/17/01,Rio de Janeiro,22.33853,19.46423,27.07998
1200.329,3304557,RJ,5/18/01,Rio de Janeiro,22.07202,19.10012,25.01022
1200.329,3304557,RJ,5/19/01,Rio de Janeiro,21.24563,19.6101,23.11624
1200.329,3304557,RJ,5/20/01,Rio de Janeiro,21.30377,19.04528,23.8332
1200.329,3304557,RJ,5/21/01,Rio de Janeiro,21.71935,17.93307,25.58874
1200.329,3304557,RJ,5/22/01,Rio de Janeiro,21.65695,16.9306,26.83935
1200.329,3304557,RJ,5/23/01,Rio de Janeiro,21.92803,18.94677,25.05633
1200.329,3304557,RJ,5/24/01,Rio de Janeiro,21.44918,20.12255,23.25463
1200.329,3304557,RJ,5/25/01,Rio de Janeiro,21.08386,19.73852,22.7135
1200.329,3304557,RJ,5/26/01,Rio de Janeiro,21.98718,18.54153,25.56255
1200.329,3304557,RJ,5/27/01,Rio de Janeiro,22.3347,19.0677,25.6723
1200.329,3304557,RJ,5/28/01,Rio de Janeiro,23.6693,20.83825,27.85055
1200.329,3304557,RJ,5/29/01,Rio de Janeiro,23.7534,19.847,28.46523
1200.329,3304557,RJ,5/30/01,Rio de Janeiro,23.3822,21.27215,25.89797
1200.329,3304557,RJ,5/31/01,Rio de Janeiro,22.7323,20.31954,25.67727
1200.329,3304557,RJ,6/1/01,Rio de Janeiro,23.26946,20.43926,27.17974
1200.329,3304557,RJ,6/2/01,Rio de Janeiro,23.23943,19.57144,27.32687
1200.329,3304557,RJ,6/3/01,Rio de Janeiro,23.422,19.4979,27.12737
1200.329,3304557,RJ,6/4/01,Rio de Janeiro,23.8784,20.71606,27.30193
1200.329,3304557,RJ,6/5/01,Rio de Janeiro,23.34478,19.4879,27.3867
1200.329,3304557,RJ,6/6/01,Rio de Janeiro,23.85296,19.76968,29.13107
1200.329,3304557,RJ,6/7/01,Rio de Janeiro,23.24517,20.0764,27.13235
1200.329,3304557,RJ,6/8/01,Rio de Janeiro,22.93435,20.8794,26.0264
1200.329,3304557,RJ,6/9/01,Rio de Janeiro,22.80963,19.21484,27.16726
1200.329,3304557,RJ,6/10/01,Rio de Janeiro,22.64834,19.34203,25.92666
1200.329,3304557,RJ,6/11/01,Rio de Janeiro,22.03427,19.655,24.65734
1200.329,3304557,RJ,6/12/01,Rio de Janeiro,22.05386,18.93057,24.85934
1200.329,3304557,RJ,6/13/01,Rio de Janeiro,22.05605,18.2872,26.3543
1200.329,3304557,RJ,6/14/01,Rio de Janeiro,22.23266,18.3196,27.21588
1200.329,3304557,RJ,6/15/01,Rio de Janeiro,22.86962,18.39318,28.04504
1200.329,3304557,RJ,6/16/01,Rio de Janeiro,24.08355,19.64,29.25326
1200.329,3304557,RJ,6/17/01,Rio de Janeiro,23.9361,19.2909,28.84304
1200.329,3304557,RJ,6/18/01,Rio de Janeiro,21.6854,20.0652,23.59628
1200.329,3304557,RJ,6/19/01,Rio de Janeiro,21.3282,19.52532,24.37557
1200.329,3304557,RJ,6/20/01,Rio de Janeiro,22.06252,19.11385,26.63235
1200.329,3304557,RJ,6/21/01,Rio de Janeiro,20.04153,18.17996,21.34573
1200.329,3304557,RJ,6/22/01,Rio de Janeiro,19.04858,16.32714,22.33944
1200.329,3304557,RJ,6/23/01,Rio de Janeiro,19.84332,16.09896,24.0227
1200.329,3304557,RJ,6/24/01,Rio de Janeiro,21.25173,18.2398,25.0339
1200.329,3304557,RJ,6/25/01,Rio de Janeiro,22.46502,18.89816,26.12863
1200.329,3304557,RJ,6/26/01,Rio de Janeiro,22.52807,18.28594,28.33056
1200.329,3304557,RJ,6/27/01,Rio de Janeiro,20.0531,17.94805,22.2634
1200.329,3304557,RJ,6/28/01,Rio de Janeiro,18.6377,15.89947,21.14123
1200.329,3304557,RJ,6/29/01,Rio de Janeiro,19.6343,17.60516,22.3781
1200.329,3304557,RJ,6/30/01,Rio de Janeiro,20.0106,16.37325,23.82195
1200.329,3304557,RJ,7/1/01,Rio de Janeiro,19.97482,15.51293,24.63864
1200.329,3304557,RJ,7/2/01,Rio de Janeiro,20.3742,16.18127,25.3693
1200.329,3304557,RJ,7/3/01,Rio de Janeiro,20.82812,16.2461,26.19845
1200.329,3304557,RJ,7/4/01,Rio de Janeiro,21.23272,16.13638,26.96154
1200.329,3304557,RJ,7/5/01,Rio de Janeiro,21.13275,16.19622,27.70715
1200.329,3304557,RJ,7/6/01,Rio de Janeiro,21.02636,18.41186,24.1312
1200.329,3304557,RJ,7/7/01,Rio de Janeiro,21.4362,18.82955,24.7122
1200.329,3304557,RJ,7/8/01,Rio de Janeiro,21.27447,17.36453,25.48153
1200.329,3304557,RJ,7/9/01,Rio de Janeiro,21.26147,18.24853,25.33315
1200.329,3304557,RJ,7/10/01,Rio de Janeiro,21.5659,17.39694,26.2022
1200.329,3304557,RJ,7/11/01,Rio de Janeiro,22.28158,17.3533,28.7919
1200.329,3304557,RJ,7/12/01,Rio de Janeiro,20.6918,18.6176,22.64993
1200.329,3304557,RJ,7/13/01,Rio de Janeiro,19.1574,18.07522,20.91305
1200.329,3304557,RJ,7/14/01,Rio de Janeiro,18.9846,15.91442,22.19106
1200.329,3304557,RJ,7/15/01,Rio de Janeiro,19.6488,15.35085,25.5613
1200.329,3304557,RJ,7/16/01,Rio de Janeiro,21.50756,17.16378,27.03634
1200.329,3304557,RJ,7/17/01,Rio de Janeiro,21.66714,16.8271,28.11987
1200.329,3304557,RJ,7/18/01,Rio de Janeiro,22.7562,17.90814,29.5587
1200.329,3304557,RJ,7/19/01,Rio de Janeiro,23.40954,18.7822,29.53503
1200.329,3304557,RJ,7/20/01,Rio de Janeiro,23.94457,19.46423,30.40658
1200.329,3304557,RJ,7/21/01,Rio de Janeiro,24.11837,20.13378,30.45022
1200.329,3304557,RJ,7/22/01,Rio de Janeiro,21.4584,19.55648,23.51522
1200.329,3304557,RJ,7/23/01,Rio de Janeiro,19.027,18.21737,20.34326
1200.329,3304557,RJ,7/24/01,Rio de Janeiro,20.13638,18.18743,23.46038
1200.329,3304557,RJ,7/25/01,Rio de Janeiro,21.4693,18.62634,24.74838
1200.329,3304557,RJ,7/26/01,Rio de Janeiro,23.23647,18.81088,28.79565
1200.329,3304557,RJ,7/27/01,Rio de Janeiro,22.90215,19.84823,27.4004
1200.329,3304557,RJ,7/28/01,Rio de Janeiro,18.39575,15.8608,21.38064
1200.329,3304557,RJ,7/29/01,Rio de Janeiro,18.28234,16.16256,21.53274
1200.329,3304557,RJ,7/30/01,Rio de Janeiro,19.65463,15.47677,23.9105
1200.329,3304557,RJ,7/31/01,Rio de Janeiro,20.31387,15.21246,25.52267
1200.329,3304557,RJ,8/1/01,Rio de Janeiro,20.64367,15.6127,26.25582
1200.329,3304557,RJ,8/2/01,Rio de Janeiro,21.2563,15.9406,26.43038
1200.329,3304557,RJ,8/3/01,Rio de Janeiro,21.61877,18.00042,25.59622
1200.329,3304557,RJ,8/4/01,Rio de Janeiro,21.45654,18.38195,25.59374
1200.329,3304557,RJ,8/5/01,Rio de Janeiro,20.75897,16.86202,24.494
1200.329,3304557,RJ,8/6/01,Rio de Janeiro,20.58526,17.12014,24.37557
1200.329,3304557,RJ,8/7/01,Rio de Janeiro,20.53735,15.7249,25.64486
1200.329,3304557,RJ,8/8/01,Rio de Janeiro,20.23425,15.4132,24.8506
1200.329,3304557,RJ,8/9/01,Rio de Janeiro,21.27618,16.5815,25.10122
1200.329,3304557,RJ,8/10/01,Rio de Janeiro,20.79406,16.75356,24.1324
1200.329,3304557,RJ,8/11/01,Rio de Janeiro,20.86953,17.79467,23.21847
1200.329,3304557,RJ,8/12/01,Rio de Janeiro,20.30392,16.9381,23.69976
1200.329,3304557,RJ,8/13/01,Rio de Janeiro,20.8943,16.8209,24.87182
1200.329,3304557,RJ,8/14/01,Rio de Janeiro,21.13146,16.6114,25.11743
1200.329,3304557,RJ,8/15/01,Rio de Janeiro,20.49172,15.9992,24.37307
1200.329,3304557,RJ,8/16/01,Rio de Janeiro,20.83477,16.66754,24.42294
1200.329,3304557,RJ,8/17/01,Rio de Janeiro,20.883,16.0678,25.46407
1200.329,3304557,RJ,8/18/01,Rio de Janeiro,21.66784,16.6214,26.28823
1200.329,3304557,RJ,8/19/01,Rio de Janeiro,22.46383,17.6937,27.15356
1200.329,3304557,RJ,8/20/01,Rio de Janeiro,21.864,16.41442,27.14483
1200.329,3304557,RJ,8/21/01,Rio de Janeiro,21.1493,18.07397,24.59252
1200.329,3304557,RJ,8/22/01,Rio de Janeiro,21.37295,18.81088,25.5501
1200.329,3304557,RJ,8/23/01,Rio de Janeiro,21.7799,19.11758,25.39922
1200.329,3304557,RJ,8/24/01,Rio de Janeiro,22.67578,19.38442,26.58624
1200.329,3304557,RJ,8/25/01,Rio de Janeiro,23.7881,20.1562,28.3979
1200.329,3304557,RJ,8/26/01,Rio de Janeiro,24.1603,19.44677,28.7657
1200.329,3304557,RJ,8/27/01,Rio de Janeiro,24.60607,20.46545,28.81933
1200.329,3304557,RJ,8/28/01,Rio de Janeiro,23.74963,20.6512,27.24206
1200.329,3304557,RJ,8/29/01,Rio de Janeiro,23.49606,20.40557,27.21465
1200.329,3304557,RJ,8/30/01,Rio de Janeiro,23.6967,21.13,26.70217
1200.329,3304557,RJ,8/31/01,Rio de Janeiro,23.95587,19.4555,28.39416
1200.329,3304557,RJ,9/1/01,Rio de Janeiro,23.9687,19.60012,27.87173
1200.329,3304557,RJ,9/2/01,Rio de Janeiro,23.84304,18.8333,28.4216
1200.329,3304557,RJ,9/3/01,Rio de Janeiro,23.76806,18.83828,28.52883
1200.329,3304557,RJ,9/4/01,Rio de Janeiro,23.857,19.56396,28.83553
1200.329,3304557,RJ,9/5/01,Rio de Janeiro,22.17574,20.04025,24.85436
1200.329,3304557,RJ,9/6/01,Rio de Janeiro,21.62985,19.9667,23.4828
1200.329,3304557,RJ,9/7/01,Rio de Janeiro,20.57675,18.82583,22.80703
1200.329,3304557,RJ,9/8/01,Rio de Janeiro,20.72024,15.8309,25.53887
1200.329,3304557,RJ,9/9/01,Rio de Janeiro,22.02276,18.7847,25.89297
1200.329,3304557,RJ,9/10/01,Rio de Janeiro,22.10687,17.28723,27.26327
1200.329,3304557,RJ,9/11/01,Rio de Janeiro,20.98626,20.14498,22.22723
1200.329,3304557,RJ,9/12/01,Rio de Janeiro,20.31054,17.95052,21.9417
1200.329,3304557,RJ,9/13/01,Rio de Janeiro,21.57238,17.9605,25.84185
1200.329,3304557,RJ,9/14/01,Rio de Janeiro,21.43975,19.34203,23.68606
1200.329,3304557,RJ,9/15/01,Rio de Janeiro,21.95355,20.53774,25.8905
1200.329,3304557,RJ,9/16/01,Rio de Janeiro,20.12432,17.5528,21.91802
1200.329,3304557,RJ,9/17/01,Rio de Janeiro,18.1622,16.9194,19.8707
1200.329,3304557,RJ,9/18/01,Rio de Janeiro,18.60452,16.28225,21.64495
1200.329,3304557,RJ,9/19/01,Rio de Janeiro,19.596,16.2199,23.49154
1200.329,3304557,RJ,9/20/01,Rio de Janeiro,20.29418,16.0603,25.1137
1200.329,3304557,RJ,9/21/01,Rio de Janeiro,21.1582,17.8034,24.43167
1200.329,3304557,RJ,9/22/01,Rio de Janeiro,20.9217,17.55654,23.57385
1200.329,3304557,RJ,9/23/01,Rio de Janeiro,20.6071,18.367,23.1736
1200.329,3304557,RJ,9/24/01,Rio de Janeiro,22.27108,17.973,26.58373
